Tool_Type,Brand,Tool_Age_Days,Days_Since_Last_Cal,Total_Checkouts,Total_Usage_Hours,Avg_Duration_Hours,Unique_Users,Past_Failures,Env_Stress_Index,Criticality_Score,Maintenance_Cost,Label_Recommended_Days_Until_Cal
Pneumatic Drill,Makita,1089,86,354,1997.6,5.6,97,0,113,3,108.9,26
Hydraulic Pump,Makita,1169,174,142,739.4,5.2,47,1,43,2,266.9,18
Hydraulic Pump,Bosch,1666,13,149,1101.8,7.4,86,4,85,2,766.6,55
Borescope,Makita,464,311,104,1053.3,10.1,77,0,41,2,46.4,-4
Multimeter,Facom,109,357,36,382.9,10.6,17,1,86,2,160.9,9
Pneumatic Drill,Facom,90,27,408,935.9,2.3,225,1,30,3,159.0,134
Borescope,Snap-on,1292,89,123,738.7,6.0,35,1,51,2,279.2,46
Hydraulic Pump,Snap-on,1394,5,19,130.2,6.9,5,1,6,2,289.4,148
Multimeter,Facom,885,136,96,962.5,10.0,71,0,37,2,88.5,8
Digital Torque Wrench,Fluke,984,101,136,211.4,1.6,81,0,29,5,98.4,85
Hydraulic Pump,Facom,568,356,134,470.9,3.5,87,1,40,2,206.8,14
Pneumatic Drill,Snap-on,54,34,84,506.0,6.0,63,0,107,3,5.4,110
Multimeter,Bosch,1266,355,49,582.0,11.9,21,1,56,2,276.6,4
Digital Torque Wrench,Fluke,1612,348,174,666.9,3.8,128,0,36,5,161.2,-6
Digital Torque Wrench,Snap-on,1667,345,101,88.9,0.9,78,2,56,5,466.7,5
Digital Torque Wrench,Makita,1510,251,36,116.8,3.2,7,1,48,5,301.0,12
Borescope,Facom,973,276,54,133.7,2.5,15,0,45,2,97.3,-2
Pneumatic Drill,Makita,322,176,317,1725.0,5.4,82,1,72,3,182.2,8
Hydraulic Pump,Bosch,1480,82,60,331.1,5.5,20,0,22,2,148.0,73
Borescope,Fluke,1375,270,133,516.1,3.9,37,0,71,2,137.5,18
Digital Torque Wrench,Makita,1254,60,195,611.1,3.1,123,0,41,5,125.4,79
Digital Torque Wrench,Fluke,160,236,182,655.3,3.6,140,0,91,5,16.0,-5
Hydraulic Pump,Snap-on,32,75,102,744.1,7.3,36,0,79,2,3.2,82
Hydraulic Pump,Bosch,1075,276,12,89.0,7.4,8,1,47,2,257.5,17
Pneumatic Drill,Makita,1483,178,231,829.7,3.6,81,1,29,3,298.3,14
Pneumatic Drill,Fluke,111,165,371,1647.4,4.4,295,0,71,3,11.1,5
Borescope,Fluke,786,57,66,580.9,8.8,18,0,67,2,78.6,93
Borescope,Fluke,651,279,68,359.3,5.3,25,0,0,2,65.1,4
Borescope,Makita,383,30,63,636.7,10.1,38,1,86,2,188.3,110
Digital Torque Wrench,Facom,815,271,166,460.4,2.8,35,0,46,5,81.5,2
Digital Torque Wrench,Makita,354,68,133,356.6,2.7,38,1,8,5,185.4,126
Digital Torque Wrench,Facom,1106,301,143,484.6,3.4,43,1,35,5,260.6,-8
Digital Torque Wrench,Snap-on,1294,203,27,39.4,1.5,13,1,5,5,279.4,-6
Borescope,Makita,270,137,11,55.9,5.1,5,1,84,2,177.0,24
Digital Torque Wrench,Facom,609,24,81,313.7,3.9,48,1,8,5,210.9,157
Hydraulic Pump,Facom,629,225,53,360.1,6.8,32,0,83,2,62.9,2
Pneumatic Drill,Snap-on,560,64,329,2439.0,7.4,101,4,58,3,656.0,33
Multimeter,Snap-on,1257,43,43,199.9,4.6,32,1,24,2,275.7,107
Digital Torque Wrench,Fluke,1261,48,71,267.8,3.8,14,1,60,5,276.1,118
Multimeter,Facom,225,173,94,665.6,7.1,63,0,69,2,22.5,19
Borescope,Makita,425,237,84,836.1,10.0,31,1,39,2,192.5,17
Borescope,Bosch,1752,73,51,289.8,5.7,37,0,73,2,175.2,102
Digital Torque Wrench,Snap-on,1249,86,51,88.6,1.7,32,0,79,5,124.9,84
Hydraulic Pump,Snap-on,220,155,26,44.0,1.7,5,1,33,2,172.0,29
Multimeter,Facom,530,155,96,396.1,4.1,37,0,44,2,53.0,25
Multimeter,Bosch,1678,351,21,111.7,5.3,8,3,59,2,617.8,6
Borescope,Bosch,859,9,143,993.1,6.9,31,3,83,2,535.9,94
Hydraulic Pump,Bosch,1580,330,32,236.7,7.4,25,1,100,2,308.0,8
Borescope,Facom,1194,341,44,259.9,5.9,21,1,4,2,269.4,17
Hydraulic Pump,Bosch,1355,234,88,186.6,2.1,20,0,6,2,135.5,1
Pneumatic Drill,Snap-on,940,192,260,781.4,3.0,92,1,68,3,244.0,5
Borescope,Bosch,1718,129,67,353.6,5.3,30,1,41,2,321.8,31
Hydraulic Pump,Facom,917,25,38,398.6,10.5,19,2,45,2,391.7,157
Digital Torque Wrench,Fluke,1588,117,146,429.4,2.9,71,1,42,5,308.8,34
Hydraulic Pump,Makita,1731,323,102,272.5,2.7,23,2,49,2,473.1,1
Digital Torque Wrench,Snap-on,962,67,28,26.6,1.0,9,0,7,5,96.2,122
Pneumatic Drill,Makita,221,153,378,795.2,2.1,102,0,73,3,22.1,7
Digital Torque Wrench,Snap-on,1436,21,65,236.3,3.6,37,1,68,5,293.6,150
Pneumatic Drill,Snap-on,261,21,491,2013.6,4.1,124,1,30,3,176.1,115
Pneumatic Drill,Facom,335,290,118,345.1,2.9,84,1,44,3,183.5,10
Borescope,Bosch,1129,310,101,1155.2,11.4,61,3,82,2,562.9,6
Digital Torque Wrench,Makita,455,232,190,270.4,1.4,79,1,65,5,195.5,21
Hydraulic Pump,Makita,894,34,101,170.8,1.7,61,1,12,2,239.4,153
Digital Torque Wrench,Fluke,941,261,188,589.2,3.1,37,2,48,5,394.1,11
Borescope,Snap-on,1712,43,43,193.3,4.5,24,2,78,2,471.2,112
Multimeter,Makita,948,33,112,963.7,8.6,70,2,14,2,394.8,103
Pneumatic Drill,Makita,1302,247,493,3275.8,6.6,183,3,45,3,580.2,12
Hydraulic Pump,Facom,823,172,41,244.3,6.0,12,1,93,2,232.3,1
Hydraulic Pump,Facom,1470,133,117,888.6,7.6,38,1,69,2,297.0,20
Borescope,Facom,290,94,121,993.7,8.2,26,0,35,2,29.0,67
Borescope,Facom,260,283,59,162.3,2.8,46,0,64,2,26.0,8
Pneumatic Drill,Bosch,1072,133,292,1649.7,5.6,182,4,69,3,707.2,11
Multimeter,Facom,1529,351,114,1198.7,10.5,31,1,9,2,302.9,0
Digital Torque Wrench,Facom,454,118,152,79.2,0.5,101,0,60,5,45.4,54
Pneumatic Drill,Facom,262,124,81,330.3,4.1,60,1,24,3,176.2,47
Hydraulic Pump,Snap-on,1035,175,21,101.9,4.9,6,0,63,2,103.5,9
Pneumatic Drill,Fluke,261,175,81,223.6,2.8,37,3,56,3,476.1,2
Borescope,Bosch,390,3,111,1213.2,10.9,81,1,73,2,189.0,142
Digital Torque Wrench,Bosch,488,128,156,461.7,3.0,48,0,66,5,48.8,40
Digital Torque Wrench,Makita,629,347,148,86.1,0.6,113,0,60,5,62.9,16
Multimeter,Fluke,923,173,35,108.6,3.1,13,1,66,2,242.3,-4
Borescope,Snap-on,640,91,47,289.8,6.2,29,1,98,2,214.0,69
Pneumatic Drill,Facom,1414,293,78,326.4,4.2,16,1,120,3,291.4,12
Borescope,Facom,161,202,124,323.2,2.6,53,1,30,2,166.1,9
Multimeter,Makita,749,323,68,430.4,6.3,35,0,76,2,74.9,18
Hydraulic Pump,Facom,295,188,95,648.2,6.8,38,0,50,2,29.5,4
Multimeter,Bosch,330,2,72,749.1,10.4,48,1,54,2,183.0,140
Hydraulic Pump,Facom,714,191,72,330.3,4.6,15,1,87,2,221.4,-1
Pneumatic Drill,Snap-on,548,216,312,838.9,2.7,212,1,118,3,204.8,20
Pneumatic Drill,Facom,448,364,478,2528.3,5.3,290,2,92,3,344.8,11
Pneumatic Drill,Fluke,1748,210,456,3061.0,6.7,101,3,113,3,624.8,22
Multimeter,Snap-on,116,74,19,100.8,5.3,14,0,88,2,11.6,100
Borescope,Facom,823,66,44,136.0,3.1,11,1,49,2,232.3,109
Borescope,Makita,507,129,113,702.4,6.2,55,0,78,2,50.7,25
Multimeter,Bosch,538,117,78,654.8,8.4,51,3,71,2,503.8,14
Digital Torque Wrench,Fluke,452,38,64,130.8,2.0,20,0,37,5,45.2,133
Multimeter,Fluke,1520,155,27,44.2,1.6,13,3,11,2,602.0,0
Pneumatic Drill,Bosch,206,114,357,1555.6,4.4,253,0,48,3,20.6,32
Multimeter,Snap-on,159,147,119,1312.3,11.0,45,0,44,2,15.9,-6
Borescope,Facom,503,256,38,281.4,7.4,15,0,41,2,50.3,5
Multimeter,Makita,1645,357,54,355.7,6.6,20,1,49,2,314.5,0
Hydraulic Pump,Snap-on,251,205,43,367.8,8.6,9,0,5,2,25.1,15
Multimeter,Bosch,1600,192,25,109.9,4.4,16,1,88,2,310.0,15
Multimeter,Snap-on,568,9,70,148.2,2.1,40,0,86,2,56.8,148
Hydraulic Pump,Snap-on,162,134,31,117.6,3.8,18,1,82,2,166.2,13
Digital Torque Wrench,Facom,1468,113,107,294.1,2.7,55,1,80,5,296.8,38
Pneumatic Drill,Makita,977,169,455,1218.8,2.7,231,0,93,3,97.7,-8
Multimeter,Facom,1388,36,57,368.7,6.5,17,3,58,2,588.8,94
Multimeter,Facom,1014,216,132,1339.5,10.1,38,5,41,2,851.4,19
Borescope,Bosch,1786,268,125,173.6,1.4,69,2,62,2,478.6,17
Digital Torque Wrench,Facom,1416,201,145,323.1,2.2,30,0,70,5,141.6,16
Hydraulic Pump,Fluke,1464,46,135,237.4,1.8,57,3,83,2,596.4,53
Borescope,Snap-on,1059,320,29,94.9,3.3,7,1,65,2,255.9,17
Digital Torque Wrench,Bosch,676,126,186,421.6,2.3,114,0,24,5,67.6,49
Borescope,Makita,1744,190,113,1079.9,9.6,52,3,29,2,624.4,5
Multimeter,Fluke,741,51,123,1279.4,10.4,37,1,95,2,224.1,79
Digital Torque Wrench,Makita,1346,162,139,259.0,1.9,64,0,46,5,134.6,11
Multimeter,Fluke,553,181,85,701.5,8.3,49,0,13,2,55.3,-5
Pneumatic Drill,Snap-on,70,124,458,2801.8,6.1,364,2,49,3,307.0,25
Digital Torque Wrench,Makita,1776,299,34,85.9,2.5,25,3,5,5,627.6,20
Digital Torque Wrench,Fluke,1468,281,87,294.4,3.4,52,1,74,5,296.8,20
Borescope,Snap-on,753,2,122,1068.4,8.8,86,2,68,2,375.3,151
Pneumatic Drill,Snap-on,245,280,144,346.5,2.4,80,1,85,3,174.5,-2
Pneumatic Drill,Makita,1526,284,457,3613.4,7.9,362,1,47,3,302.6,19
Digital Torque Wrench,Makita,98,21,134,353.7,2.6,85,0,30,5,9.8,155
Hydraulic Pump,Snap-on,992,120,35,334.2,9.5,23,0,67,2,99.2,45
Digital Torque Wrench,Makita,297,214,175,633.0,3.6,101,1,59,5,179.7,5
Multimeter,Facom,1392,300,34,130.0,3.8,7,2,26,2,439.2,21
Pneumatic Drill,Facom,899,340,184,1323.0,7.2,144,1,119,3,239.9,8
Multimeter,Facom,353,237,80,538.7,6.7,31,0,77,2,35.3,5
Hydraulic Pump,Makita,1800,254,47,456.2,9.7,36,2,75,2,480.0,-6
Multimeter,Makita,1580,241,25,45.5,1.8,10,1,83,2,308.0,4
Borescope,Makita,391,363,58,532.9,9.2,21,1,94,2,189.1,9
Digital Torque Wrench,Snap-on,677,70,71,234.4,3.3,44,1,8,5,217.7,103
Borescope,Fluke,1148,336,30,168.1,5.6,8,0,37,2,114.8,-6
Pneumatic Drill,Fluke,165,324,327,796.8,2.4,141,2,37,3,316.5,9
Pneumatic Drill,Bosch,347,151,71,294.9,4.2,49,0,80,3,34.7,17
Borescope,Makita,151,219,85,245.7,2.9,29,0,78,2,15.1,10
Pneumatic Drill,Snap-on,295,346,371,1125.9,3.0,268,1,42,3,179.5,8
Digital Torque Wrench,Snap-on,1157,35,30,45.7,1.5,15,1,14,5,265.7,111
Borescope,Bosch,249,238,44,275.9,6.3,20,1,59,2,174.9,-6
Multimeter,Bosch,343,283,110,168.2,1.5,76,0,5,2,34.3,21
Multimeter,Facom,1524,198,52,324.6,6.2,30,1,87,2,302.4,5
Pneumatic Drill,Makita,893,14,150,489.0,3.3,51,2,100,3,389.3,152
Pneumatic Drill,Facom,1765,235,197,1527.2,7.8,123,1,86,3,326.5,9
Hydraulic Pump,Snap-on,1321,171,47,261.0,5.6,10,0,17,2,132.1,19
Borescope,Bosch,1238,134,16,89.5,5.6,9,0,15,2,123.8,28
Pneumatic Drill,Makita,1405,78,183,1127.6,6.2,66,1,86,3,290.5,20
Hydraulic Pump,Fluke,1277,4,98,1129.0,11.5,74,1,24,2,277.7,133
Borescope,Snap-on,160,160,83,305.2,3.7,27,1,64,2,166.0,22
Multimeter,Makita,1009,340,24,219.5,9.1,16,1,64,2,250.9,16
Pneumatic Drill,Makita,288,251,175,716.0,4.1,103,0,82,3,28.8,2
Borescope,Makita,1736,320,29,29.5,1.0,12,2,69,2,473.6,-4
Multimeter,Facom,419,287,145,1685.8,11.6,31,0,14,2,41.9,-8
Hydraulic Pump,Snap-on,1685,215,96,330.5,3.4,19,0,45,2,168.5,-3
Multimeter,Snap-on,1357,309,133,1320.0,9.9,74,0,42,2,135.7,9
Pneumatic Drill,Bosch,143,316,408,980.2,2.4,315,3,118,3,464.3,9
Digital Torque Wrench,Makita,1106,148,167,589.5,3.5,111,0,85,5,110.6,21
Digital Torque Wrench,Fluke,1730,303,137,225.0,1.6,48,2,15,5,473.0,1
Multimeter,Facom,820,337,104,1245.8,12.0,42,2,10,2,382.0,22
Digital Torque Wrench,Snap-on,35,309,51,82.2,1.6,13,0,86,5,3.5,-3
Pneumatic Drill,Makita,1042,183,124,398.0,3.2,59,2,39,3,404.2,-4
Hydraulic Pump,Facom,877,46,34,124.4,3.7,15,0,77,2,87.7,135
Pneumatic Drill,Fluke,512,16,104,735.8,7.1,73,0,84,3,51.2,125
Hydraulic Pump,Makita,1732,280,61,337.8,5.5,24,0,48,2,173.2,22
Digital Torque Wrench,Makita,1405,269,104,306.7,2.9,76,1,5,5,290.5,-6
Hydraulic Pump,Makita,1331,191,22,210.7,9.6,13,1,21,2,283.1,-6
Borescope,Makita,351,338,59,90.4,1.5,34,0,4,2,35.1,18
Digital Torque Wrench,Snap-on,864,92,128,432.8,3.4,92,1,14,5,236.4,89
Borescope,Makita,569,320,134,274.3,2.0,89,1,13,2,206.9,-5
Hydraulic Pump,Facom,1301,246,37,362.1,9.8,15,2,83,2,430.1,8
Hydraulic Pump,Makita,1070,156,24,110.0,4.6,8,0,38,2,107.0,-3
Hydraulic Pump,Snap-on,390,267,42,321.4,7.7,8,0,35,2,39.0,15
Pneumatic Drill,Facom,448,190,66,499.3,7.6,40,4,36,3,644.8,15
Multimeter,Facom,1497,122,122,602.4,4.9,42,1,42,2,299.7,22
Borescope,Bosch,767,335,116,681.8,5.9,90,1,53,2,226.7,-5
Multimeter,Bosch,684,295,49,572.1,11.7,35,0,26,2,68.4,11
Multimeter,Facom,890,343,118,384.4,3.3,80,0,42,2,89.0,3
Hydraulic Pump,Snap-on,1627,255,22,63.8,2.9,15,0,86,2,162.7,8
Multimeter,Fluke,1282,198,97,443.1,4.6,20,0,17,2,128.2,-7
Multimeter,Makita,1817,129,101,454.4,4.5,58,0,92,2,181.7,-2
Pneumatic Drill,Snap-on,749,62,477,1655.4,3.5,250,1,58,3,224.9,94
Hydraulic Pump,Snap-on,1388,84,28,92.0,3.3,11,0,52,2,138.8,85
Hydraulic Pump,Bosch,1283,152,67,562.3,8.4,19,1,100,2,278.3,18
Multimeter,Fluke,1125,236,109,392.1,3.6,64,1,17,2,262.5,7
Digital Torque Wrench,Fluke,411,78,125,485.6,3.9,64,0,71,5,41.1,102
Borescope,Facom,284,265,112,543.0,4.8,79,0,5,2,28.4,19
Pneumatic Drill,Bosch,1343,352,68,208.6,3.1,18,0,37,3,134.3,20
Pneumatic Drill,Makita,1341,186,148,897.9,6.1,71,4,111,3,734.1,11
Borescope,Facom,1341,36,128,686.6,5.4,74,0,94,2,134.1,87
Borescope,Facom,514,9,23,117.9,5.1,18,3,6,2,501.4,120
Borescope,Makita,1212,306,68,240.6,3.5,16,2,3,2,421.2,15
Multimeter,Facom,323,324,127,1443.6,11.4,39,0,79,2,32.3,13
Pneumatic Drill,Snap-on,272,265,107,561.4,5.2,83,1,34,3,177.2,19
Digital Torque Wrench,Fluke,1263,222,88,132.2,1.5,22,0,9,5,126.3,-1
Borescope,Facom,927,334,150,1781.4,11.9,111,1,9,2,242.7,15
Digital Torque Wrench,Snap-on,880,308,153,298.8,2.0,112,1,33,5,238.0,18
Multimeter,Fluke,613,358,93,467.7,5.0,34,0,11,2,61.3,21
Pneumatic Drill,Bosch,1060,165,491,1499.9,3.1,123,0,102,3,106.0,21
Multimeter,Bosch,44,53,150,159.9,1.1,77,0,96,2,4.4,106
Borescope,Bosch,135,324,128,667.7,5.2,56,0,86,2,13.5,7
Hydraulic Pump,Snap-on,1186,318,142,483.9,3.4,59,3,56,2,568.6,18
Multimeter,Makita,1773,302,21,185.0,8.8,4,2,80,2,477.3,-5
Hydraulic Pump,Makita,1614,104,146,784.8,5.4,41,2,23,2,461.4,28
Digital Torque Wrench,Fluke,356,148,160,242.4,1.5,71,0,85,5,35.6,26
Hydraulic Pump,Facom,1663,66,27,168.4,6.2,17,0,44,2,166.3,93
Digital Torque Wrench,Snap-on,946,12,186,424.6,2.3,39,0,49,5,94.6,159
Borescope,Facom,1777,103,92,903.1,9.8,18,4,21,2,777.7,20
Borescope,Bosch,1040,283,24,141.1,5.9,13,0,14,2,104.0,17
Borescope,Snap-on,1694,146,102,466.5,4.6,63,1,41,2,319.4,11
Hydraulic Pump,Makita,598,229,30,154.4,5.1,20,1,34,2,209.8,12
Digital Torque Wrench,Facom,257,56,69,236.9,3.4,25,0,23,5,25.7,127
Hydraulic Pump,Facom,1390,224,136,1471.0,10.8,43,1,18,2,289.0,-8
Borescope,Snap-on,1601,333,87,460.7,5.3,50,1,9,2,310.1,3
Borescope,Makita,1653,296,147,507.1,3.4,31,2,88,2,465.3,-2
Digital Torque Wrench,Fluke,1273,229,188,194.0,1.0,96,1,20,5,277.3,14
Borescope,Makita,1174,256,128,258.0,2.0,74,1,18,2,267.4,21
Digital Torque Wrench,Fluke,1077,47,172,400.5,2.3,80,0,73,5,107.7,111
Multimeter,Facom,543,94,94,754.9,8.0,28,1,45,2,204.3,71
Pneumatic Drill,Facom,1222,333,361,1757.7,4.9,275,1,39,3,272.2,21
Digital Torque Wrench,Facom,1619,271,102,271.1,2.7,42,3,83,5,611.9,5
Multimeter,Facom,937,356,99,142.8,1.4,43,2,21,2,393.7,16
Multimeter,Snap-on,310,347,131,417.8,3.2,31,0,46,2,31.0,11
Multimeter,Makita,1567,280,77,265.7,3.5,27,1,35,2,306.7,-3
Multimeter,Bosch,809,209,68,133.8,2.0,21,0,38,2,80.9,-2
Multimeter,Makita,168,248,110,611.3,5.6,28,0,74,2,16.8,1
Digital Torque Wrench,Snap-on,858,31,186,406.7,2.2,94,1,3,5,235.8,164
Digital Torque Wrench,Facom,1043,183,61,121.7,2.0,14,0,31,5,104.3,14
Borescope,Snap-on,333,209,39,62.2,1.6,17,0,17,2,33.3,4
Hydraulic Pump,Bosch,1446,241,29,147.0,5.1,17,0,14,2,144.6,13
Multimeter,Bosch,434,189,112,708.2,6.3,72,0,32,2,43.4,13
Borescope,Makita,857,209,139,760.5,5.5,61,0,27,2,85.7,20
Pneumatic Drill,Fluke,1604,140,202,961.0,4.8,57,3,107,3,610.4,-5
Pneumatic Drill,Facom,676,312,410,2204.0,5.4,273,2,24,3,367.6,-5
Multimeter,Fluke,476,264,60,361.7,6.0,46,0,32,2,47.6,4
Pneumatic Drill,Snap-on,1763,171,220,955.0,4.3,99,1,73,3,326.3,7
Digital Torque Wrench,Makita,1281,220,158,376.7,2.4,81,1,0,5,278.1,-8
Digital Torque Wrench,Facom,331,132,97,130.9,1.3,71,2,61,5,333.1,59
Hydraulic Pump,Facom,1073,205,101,803.0,8.0,67,1,30,2,257.3,17
Multimeter,Fluke,1390,340,16,96.4,6.0,4,1,72,2,289.0,15
Pneumatic Drill,Facom,1129,177,375,2350.0,6.3,125,1,52,3,262.9,18
Pneumatic Drill,Makita,1377,92,97,766.0,7.9,73,2,110,3,437.7,30
Hydraulic Pump,Snap-on,869,70,14,128.4,9.2,2,1,4,2,236.9,110
Digital Torque Wrench,Fluke,1393,266,137,125.7,0.9,77,1,49,5,289.3,-8
Hydraulic Pump,Makita,185,249,83,338.2,4.1,45,0,97,2,18.5,16
Hydraulic Pump,Facom,1422,359,95,309.2,3.3,32,1,95,2,292.2,1
Pneumatic Drill,Makita,1779,138,104,719.8,6.9,67,2,32,3,477.9,9
Borescope,Bosch,530,352,148,1290.1,8.7,32,1,37,2,203.0,5
Multimeter,Bosch,1701,149,126,997.0,7.9,84,0,13,2,170.1,2
Borescope,Snap-on,525,298,32,172.1,5.4,24,2,63,2,352.5,-1
Multimeter,Bosch,320,213,33,388.0,11.8,24,0,5,2,32.0,13
Digital Torque Wrench,Snap-on,370,248,43,128.6,3.0,26,3,52,5,487.0,17
Borescope,Snap-on,1357,80,34,184.0,5.4,9,1,71,2,285.7,92
Pneumatic Drill,Facom,238,324,294,1183.8,4.0,179,1,31,3,173.8,11
Digital Torque Wrench,Fluke,313,108,112,361.9,3.2,53,0,11,5,31.3,71
Multimeter,Makita,743,139,139,1096.8,7.9,39,2,65,2,374.3,21
Pneumatic Drill,Bosch,695,253,238,993.2,4.2,77,3,107,3,519.5,21
Hydraulic Pump,Bosch,1426,39,26,248.2,9.5,16,3,10,2,592.6,68
Digital Torque Wrench,Makita,840,28,193,751.1,3.9,146,1,54,5,234.0,130
Hydraulic Pump,Fluke,923,176,105,1081.5,10.3,57,1,78,2,242.3,12
Multimeter,Fluke,1600,322,113,953.6,8.4,49,2,88,2,460.0,2
Pneumatic Drill,Bosch,589,269,124,768.7,6.2,27,1,69,3,208.9,22
Borescope,Makita,1676,291,56,331.7,5.9,17,0,76,2,167.6,9
Hydraulic Pump,Fluke,403,79,55,558.0,10.1,38,0,15,2,40.3,57
Pneumatic Drill,Fluke,486,19,110,779.2,7.1,79,0,32,3,48.6,145
Digital Torque Wrench,Facom,1185,299,114,137.5,1.2,28,0,25,5,118.5,2
Multimeter,Makita,1194,362,87,542.2,6.2,61,3,48,2,569.4,-6
Pneumatic Drill,Fluke,889,346,450,3363.0,7.5,110,0,52,3,88.9,16
Pneumatic Drill,Fluke,642,165,365,1902.1,5.2,122,3,108,3,514.2,18
Hydraulic Pump,Makita,525,117,57,581.1,10.2,13,1,29,2,202.5,45
Borescope,Makita,1452,296,106,965.1,9.1,27,0,50,2,145.2,9
Digital Torque Wrench,Fluke,853,190,99,139.3,1.4,36,1,91,5,235.3,18
Multimeter,Snap-on,1403,262,27,147.9,5.5,21,0,34,2,140.3,0
Digital Torque Wrench,Makita,937,150,83,201.8,2.4,55,0,25,5,93.7,26
Multimeter,Snap-on,307,323,139,1595.3,11.5,65,1,14,2,180.7,-1
Hydraulic Pump,Snap-on,678,185,47,369.1,7.9,22,1,4,2,217.8,20
Digital Torque Wrench,Facom,424,321,155,522.2,3.4,53,1,64,5,192.4,8
Pneumatic Drill,Facom,1217,266,496,3095.9,6.2,324,2,46,3,421.7,-2
Digital Torque Wrench,Fluke,1524,252,136,393.7,2.9,86,2,66,5,452.4,-6
Borescope,Facom,965,65,148,1069.3,7.2,32,0,95,2,96.5,56
Multimeter,Bosch,1551,360,106,947.4,8.9,84,2,81,2,455.1,-7
Borescope,Makita,711,261,138,735.5,5.3,110,1,27,2,221.1,19
Borescope,Fluke,1018,133,69,93.9,1.4,20,0,72,2,101.8,29
Multimeter,Bosch,1049,70,67,779.2,11.6,28,0,60,2,104.9,52
Digital Torque Wrench,Facom,911,123,196,543.7,2.8,73,1,52,5,241.1,15
Digital Torque Wrench,Bosch,350,162,103,312.7,3.0,59,0,62,5,35.0,19
Hydraulic Pump,Snap-on,894,66,61,246.0,4.0,33,2,74,2,389.4,117
Pneumatic Drill,Facom,1317,229,95,689.2,7.3,37,0,120,3,131.7,0
Borescope,Snap-on,691,281,135,537.5,4.0,42,1,39,2,219.1,6
Multimeter,Bosch,542,248,113,196.0,1.7,82,0,45,2,54.2,10
Pneumatic Drill,Snap-on,1321,96,311,1003.6,3.2,180,1,35,3,282.1,36
Borescope,Snap-on,371,365,140,1427.2,10.2,32,1,28,2,187.1,-3
Borescope,Snap-on,218,187,31,341.1,11.0,16,0,68,2,21.8,20
Borescope,Facom,1623,248,72,641.1,8.9,25,1,89,2,312.3,6
Pneumatic Drill,Snap-on,1275,295,449,1894.0,4.2,255,4,27,3,727.5,18
Pneumatic Drill,Makita,1635,29,491,3771.2,7.7,306,1,102,3,313.5,68
